sk_code,cert,card_name,card_full,year,set,variation,number,grade,src_cl,src_pc,src_130p,src_winner,base_value,marked_up,final_price,name_for_match,ebay_n_graded,ebay_recent_median,ebay_trend,ebay_recommendation,src_winner_v2,final_price_v2
SK-26-G-0025,75183695,Orgn.frm.dialga Vstar,2023 Pokemon Sword and Shield Crown Zenith Orgn.frm.dialga Vstar Crown Zenith-Fa-Secret #GG68 PSA 10,2023,Pokemon Sword and Shield Crown Zenith,Crown Zenith-Fa-Secret,GG68,PSA 10,325.00,325.00,,CL,325.00,367.50,435,orgn frm dialga vstar|2023|pokemon sword and shield crown zenith|PSA10,6,384.48,up,435,ebay,435
SK-26-G-0003,95199161,Fa / Arceus Vstar,2023 Pokemon Sword and Shield Crown Zenith Fa / Arceus Vstar Crown Zenith-Secret #GG70 PSA 10,2023,Pokemon Sword and Shield Crown Zenith,Crown Zenith-Secret,GG70,PSA 10,440.00,390.00,,CL,440.00,494.00,555,fa arceus vstar|2023|pokemon sword and shield crown zenith|PSA10,5,383.0,up,555,ebay,555
SK-26-G-0009,108973922,Orgn.frm.palkia Vstar,2023 Pokemon Sword and Shield Crown Zenith Orgn.frm.palkia Vstar Crown Zenith-Fa-Secret #GG67 PSA 10,2023,Pokemon Sword and Shield Crown Zenith,Crown Zenith-Fa-Secret,GG67,PSA 10,300.00,330.00,,PC,330.00,373.00,380,orgn frm palkia vstar|2023|pokemon sword and shield crown zenith|PSA10,4,338.03,up,380,ebay,380
SK-26-G-0062,6136935033,Umbreon ☆,2021 Pokemon Celebrations - Classic Coll. Umbreon ☆ POP Series 5 Holo #17/17 CGC 10 Pristine,2021,Pokemon Celebrations - Classic Coll.,POP Series 5 Holo,17/17,CGC 10 Pristine,384.00,,,CL,384.00,432.40,495,umbreon|2021|pokemon celebrations classic coll|CGC10PRISTINE,2,450.0,up,495,ebay,495
SK-26-G-0040,44690212,Pikachu,1999 Pokemon Jungle Pikachu 1st Edition #60 PSA 10,1999,Pokemon Jungle,1st Edition,60,PSA 10,1111.11,1019.50,,CL,1111.11,1200.00,1340,pikachu|1999|pokemon jungle|PSA10,5,1165.16,stable-norecent,1340,ebay,1340
SK-26-G-0020,99211118,Espeon VMAX,2021 Pokemon Sword & Shield: Fusion Strike Espeon VMAX Full Art Secret Rare #270 PSA 10,2021,Pokemon Sword & Shield: Fusion Strike,Full Art Secret Rare,270,PSA 10,820.27,738.19,,CL,820.27,912.30,970,espeon vmax|2021|pokemon sword shield fusion strike|PSA10,6,805.44,up,970,ebay,970
SK-26-G-0078,146514325,Eevee Ex,2025 Pokemon Svp En-Sv Black Star Promo Eevee Ex Pre Super-Premium Collection #174 PSA 10,2025,Pokemon Svp En-Sv Black Star Promo,Pre Super-Premium Collection,174,PSA 10,465.00,417.50,,CL,465.00,521.50,535,eevee ex|2025|pokemon svp en sv black star promo|PSA10,5,459.95,up,535,ebay,535
SK-26-G-0079,126435156,Eevee Ex,2025 Pokemon Svp En-Sv Black Star Promo Eevee Ex Pre Super-Premium Collection #174 PSA 10,2025,Pokemon Svp En-Sv Black Star Promo,Pre Super-Premium Collection,174,PSA 10,465.00,417.50,,CL,465.00,521.50,535,eevee ex|2025|pokemon svp en sv black star promo|PSA10,5,459.95,up,535,ebay,535
SK-26-G-0004,99513425,Latias Ex,2024 Pokemon Japanese Sv7a-Paradise Dragona Latias Ex Special Art Rare #087 PSA 10,2024,Pokemon Japanese Sv7a-Paradise Dragona,Special Art Rare,087,PSA 10,210.00,,,CL,210.00,241.00,240,latias ex|2024|pokemon japanese sv7a paradise dragona|PSA10,8,210.95,down,230,formula,240
SK-26-G-0005,107496657,Fa / Rayquaza Vmax,2021 Pokemon Japanese Sword & Shield Vmax Climax Fa / Rayquaza Vmax Vmax Climax #252 PSA 10,2021,Pokemon Japanese Sword & Shield Vmax Climax,Vmax Climax,252,PSA 10,440.00,437.50,,CL,440.00,494.00,535,fa rayquaza vmax|2021|pokemon japanese sword shield vmax climax|PSA10,4,460.97,up,535,ebay,535
SK-26-G-0069,138441842,Umbreon-Holo,2000 Pokemon Japanese Neo 2 Umbreon-Holo #197 PSA 9,2000,Pokemon Japanese Neo 2,,197,PSA 9,870.00,93.81,,CL,870.00,967.00,1220,umbreon holo|2000|pokemon japanese neo 2|PSA9,8,1059.74,stable-norecent,1220,ebay,1220
SK-26-G-0061,143540438,Roaring Moon Ex,2025 Pokemon Pre En-Prismatic Evolutions Roaring Moon Ex Special Illustration Rare #162 PSA 10,2025,Pokemon Pre En-Prismatic Evolutions,Special Illustration Rare,162,PSA 10,715.00,750.00,,PC,750.00,835.00,940,roaring moon ex|2025|pokemon pre en prismatic evolutions|PSA10,4,849.99,up,940,ebay,940
